kansas,1
lehigh,2
nevada-las-vegas,3
northern-iowa,4
michigan-state,5
new-mexico-state,6
maryland,7
houston,8
tennessee,9
san-diego-state,10
georgetown,11
ohio,12
oklahoma-state,13
georgia-tech,14
ohio-state,15
california-santa-barbara,16
syracuse,17
vermont,18
gonzaga,19
florida-state,20
butler,21
texas-el-paso,22
vanderbilt,23
murray-state,24
xavier,25
minnesota,26
pittsburgh,27
oakland,28
brigham-young,29
florida,30
kansas-state,31
north-texas,32
kentucky,33
east-tennessee-state,34
texas,35
wake-forest,36
temple,37
cornell,38
wisconsin,39
wofford,40
marquette,41
washington,42
new-mexico,43
montana,44
clemson,45
missouri,46
west-virginia,47
morgan-state,48
duke,49
arkansas-pine-bluff,50
california,51
louisville,52
texas-am,53
utah-state,54
purdue,55
siena,56
notre-dame,57
old-dominion,58
baylor,59
sam-houston-state,60
richmond,61
saint-marys-ca,62
villanova,63
robert-morris,64
