virginia,1
hampton,2
texas-tech,3
butler,4
purdue,5
arkansas-little-rock,6
iowa-state,7
iona,8
seton-hall,9
gonzaga,10
utah,11
fresno-state,12
dayton,13
syracuse,14
michigan-state,15
middle-tennessee,16
north-carolina,17
florida-gulf-coast,18
southern-california,19
providence,20
indiana,21
chattanooga,22
kentucky,23
stony-brook,24
notre-dame,25
michigan,26
west-virginia,27
stephen-f-austin,28
wisconsin,29
pittsburgh,30
xavier,31
weber-state,32
oregon,33
holy-cross,34
saint-josephs,35
cincinnati,36
baylor,37
yale,38
duke,39
north-carolina-wilmington,40
texas,41
northern-iowa,42
texas-am,43
green-bay,44
oregon-state,45
virginia-commonwealth,46
oklahoma,47
cal-state-bakersfield,48
kansas,49
austin-peay,50
colorado,51
connecticut,52
maryland,53
south-dakota-state,54
california,55
hawaii,56
arizona,57
wichita-state,58
miami-fl,59
buffalo,60
iowa,61
temple,62
villanova,63
north-carolina-asheville,64
