syracuse,1
north-carolina-asheville,2
kansas-state,3
southern-mississippi,4
vanderbilt,5
harvard,6
wisconsin,7
montana,8
cincinnati,9
texas,10
florida-state,11
st-bonaventure,12
gonzaga,13
west-virginia,14
ohio-state,15
loyola-md,16
north-carolina,17
vermont,18
creighton,19
alabama,20
temple,21
south-florida,22
michigan,23
ohio,24
san-diego-state,25
north-carolina-state,26
georgetown,27
belmont,28
saint-marys-ca,29
purdue,30
kansas,31
detroit-mercy,32
kentucky,33
western-kentucky,34
iowa-state,35
connecticut,36
wichita-state,37
virginia-commonwealth,38
indiana,39
new-mexico-state,40
nevada-las-vegas,41
colorado,42
baylor,43
south-dakota-state,44
notre-dame,45
xavier,46
duke,47
lehigh,48
michigan-state,49
long-island-university,50
memphis,51
saint-louis,52
new-mexico,53
long-beach-state,54
louisville,55
davidson,56
murray-state,57
colorado-state,58
marquette,59
brigham-young,60
florida,61
virginia,62
missouri,63
norfolk-state,64
