villanova,1
lafayette,2
north-carolina-state,3
louisiana-state,4
northern-iowa,5
wyoming,6
louisville,7
california-irvine,8
providence,9
dayton,10
oklahoma,11
albany-ny,12
michigan-state,13
georgia,14
virginia,15
belmont,16
duke,17
robert-morris,18
san-diego-state,19
st-johns-ny,20
utah,21
stephen-f-austin,22
georgetown,23
eastern-washington,24
southern-methodist,25
ucla,26
iowa-state,27
alabama-birmingham,28
iowa,29
davidson,30
gonzaga,31
north-dakota-state,32
kentucky,33
hampton,34
cincinnati,35
purdue,36
west-virginia,37
buffalo,38
maryland,39
valparaiso,40
butler,41
texas,42
notre-dame,43
northeastern,44
wichita-state,45
indiana,46
kansas,47
new-mexico-state,48
wisconsin,49
coastal-carolina,50
oregon,51
oklahoma-state,52
arkansas,53
wofford,54
north-carolina,55
harvard,56
xavier,57
mississippi,58
baylor,59
georgia-state,60
virginia-commonwealth,61
ohio-state,62
arizona,63
texas-southern,64
