indiana,1
james-madison,2
north-carolina-state,3
temple,4
nevada-las-vegas,5
california,6
syracuse,7
montana,8
butler,9
bucknell,10
marquette,11
davidson,12
illinois,13
colorado,14
miami-fl,15
pacific,16
kansas,17
western-kentucky,18
north-carolina,19
villanova,20
virginia-commonwealth,21
akron,22
michigan,23
south-dakota-state,24
ucla,25
minnesota,26
florida,27
northwestern-state,28
san-diego-state,29
oklahoma,30
georgetown,31
florida-gulf-coast,32
louisville,33
north-carolina-at,34
colorado-state,35
missouri,36
oklahoma-state,37
oregon,38
saint-louis,39
new-mexico-state,40
memphis,41
saint-marys-ca,42
michigan-state,43
valparaiso,44
creighton,45
cincinnati,46
duke,47
albany-ny,48
gonzaga,49
southern,50
pittsburgh,51
wichita-state,52
wisconsin,53
mississippi,54
kansas-state,55
la-salle,56
arizona,57
belmont,58
new-mexico,59
harvard,60
notre-dame,61
iowa-state,62
ohio-state,63
iona,64
