Team,duke,arkansas-pine-bluff,california,louisville,texas-am,utah-state,purdue,siena,notre-dame,old-dominion,baylor,sam-houston-state,richmond,saint-marys-ca,villanova,robert-morris,kentucky,east-tennessee-state,texas,wake-forest,temple,cornell,wisconsin,wofford,marquette,washington,new-mexico,montana,clemson,missouri,west-virginia,morgan-state,kansas,lehigh,nevada-las-vegas,northern-iowa,michigan-state,new-mexico-state,maryland,houston,tennessee,san-diego-state,georgetown,ohio,oklahoma-state,georgia-tech,ohio-state,california-santa-barbara,syracuse,vermont,gonzaga,florida-state,butler,texas-el-paso,vanderbilt,murray-state,xavier,minnesota,pittsburgh,oakland,brigham-young,florida,kansas-state,north-texas
Opponent Points Per Game,0.26222222222222225,0.4088888888888888,0.5822222222222224,0.6533333333333333,0.41777777777777786,0.21333333333333326,0.27555555555555544,0.4622222222222223,0.5911111111111115,0.10666666666666663,0.4666666666666665,0.6266666666666669,0.33777777777777795,0.5022222222222226,0.7866666666666667,0.4800000000000003,0.43555555555555586,0.5511111111111112,0.6622222222222224,0.6400000000000001,0.07555555555555539,0.41777777777777786,0.0799999999999999,0.26222222222222225,0.42222222222222205,0.6622222222222224,0.537777777777778,0.27555555555555544,0.41777777777777786,0.49333333333333357,0.3733333333333334,0.6800000000000004,0.40444444444444466,0.6888888888888888,0.3866666666666666,0.0,0.3866666666666666,1.0,0.5866666666666667,0.8844444444444447,0.4488888888888891,0.2977777777777777,0.4888888888888887,0.635555555555556,0.5733333333333335,0.4711111111111113,0.28444444444444444,0.4711111111111113,0.5022222222222226,0.43111111111111106,0.5466666666666671,0.2355555555555555,0.19111111111111104,0.42222222222222205,0.6133333333333337,0.2355555555555555,0.6400000000000001,0.3999999999999998,0.2977777777777777,0.728888888888889,0.5022222222222226,0.5022222222222226,0.6533333333333333,0.6533333333333333
Defense Rating,0.15343915343915368,0.2751322751322752,0.5978835978835976,0.6825396825396827,0.375661375661376,0.35449735449735453,0.14285714285714296,0.2169312169312173,0.8941798941798942,0.11640211640211652,0.4338624338624339,0.45502645502645533,0.3015873015873016,0.523809523809524,0.619047619047619,0.43915343915343885,0.16402116402116443,0.4338624338624339,0.2804232804232802,0.4021164021164024,0.11640211640211652,0.5396825396825397,0.29629629629629667,0.24338624338624376,0.5396825396825397,0.375661375661376,0.523809523809524,0.4126984126984124,0.1746031746031744,0.20105820105820085,0.47089947089947104,0.5555555555555554,0.16402116402116443,0.6031746031746033,0.2698412698412702,0.21164021164021157,0.40740740740740744,1.0,0.39153439153439173,0.8201058201058199,0.23280423280423304,0.3650793650793653,0.5502645502645503,0.5026455026455025,0.5185185185185183,0.2169312169312173,0.2645502645502645,0.4179894179894182,0.24867724867724875,0.35978835978835955,0.386243386243386,0.010582010582010729,0.19047619047619088,0.13756613756613797,0.5026455026455025,0.0,0.4179894179894182,0.3968253968253967,0.4126984126984124,0.6719576719576719,0.2169312169312173,0.529100529100529,0.42328042328042315,0.5873015873015875
Offense Rating,0.9380165289256198,0.0,0.838842975206612,0.7231404958677685,0.5413223140495871,0.9669421487603307,0.5041322314049588,0.5578512396694214,0.9628099173553722,0.5413223140495871,0.8553719008264463,0.7603305785123968,0.46694214876033097,0.9752066115702481,0.8181818181818186,0.3264462809917357,0.7851239669421487,0.2644628099173556,0.6652892561983473,0.3223140495867773,0.4545454545454545,1.0,0.7520661157024794,0.5082644628099178,0.7768595041322318,0.6363636363636366,0.7561983471074384,0.6900826446280992,0.48347107438016534,0.6157024793388431,0.7561983471074384,0.5826446280991738,0.9793388429752066,0.553719008264463,0.6033057851239673,0.5578512396694214,0.644628099173554,0.640495867768595,0.7892561983471077,0.6694214876033058,0.4958677685950413,0.6487603305785125,0.7148760330578516,0.5206611570247937,0.5826446280991738,0.4090909090909093,0.822314049586777,0.26033057851239716,0.8636363636363638,0.4338842975206611,0.6818181818181818,0.3099173553719008,0.5661157024793388,0.5578512396694214,0.6818181818181818,0.7975206611570251,0.7396694214876035,0.6528925619834715,0.5909090909090913,0.6322314049586781,0.9504132231404958,0.5909090909090913,0.7190082644628101,0.5206611570247937
Opponent Assets,0.5062761506276151,0.33472803347280333,0.5146443514644351,0.5523012552301255,0.41422594142259417,0.3263598326359833,0.27615062761506276,0.6569037656903766,0.7322175732217573,0.37656903765690375,0.6652719665271967,0.9707112970711297,0.14644351464435146,0.08368200836820083,0.5606694560669456,0.4435146443514644,0.4435146443514644,0.6317991631799164,0.33472803347280333,0.17573221757322174,0.1297071129707113,0.3305439330543933,0.008368200836820083,0.06276150627615062,0.6485355648535565,0.3598326359832636,0.6485355648535565,0.029288702928870293,0.301255230125523,0.2928870292887029,0.5230125523012552,0.49372384937238495,0.5648535564853556,0.694560669456067,0.16736401673640167,0.0041841004184100415,0.6276150627615062,1.0,0.301255230125523,0.6610878661087866,0.4560669456066946,0.45188284518828453,0.5648535564853556,0.8493723849372385,0.28451882845188287,0.6694560669456067,0.6234309623430963,0.30962343096234307,0.9665271966527197,0.3138075313807531,0.4351464435146444,0.0,0.39748953974895396,0.27615062761506276,0.3472803347280335,0.3682008368200837,0.6569037656903766,0.6150627615062761,0.2803347280334728,0.5815899581589958,0.5564853556485355,0.5313807531380753,0.5355648535564853,0.25523012552301255
Opponent Offensive Rebounds,0.9030837004405287,0.2555066079295154,0.5198237885462555,0.7444933920704846,0.41409691629955947,0.2599118942731278,0.5198237885462555,0.44493392070484583,0.4801762114537445,0.4669603524229075,0.9118942731277533,0.34801762114537443,0.8766519823788547,0.5594713656387665,0.5594713656387665,0.5682819383259912,0.9911894273127754,0.7136563876651982,0.7577092511013216,0.7312775330396476,0.3656387665198238,0.31718061674008813,0.0,0.36123348017621143,0.4185022026431718,0.6960352422907489,0.29955947136563876,0.2422907488986784,0.5198237885462555,0.9030837004405287,0.6784140969162996,0.9911894273127754,0.8678414096916299,0.42731277533039647,0.42731277533039647,0.1277533039647577,0.4845814977973568,0.7841409691629956,1.0,0.9074889867841409,0.7577092511013216,0.4933920704845815,0.5154185022026432,0.920704845814978,0.2775330396475771,0.9647577092511013,0.4845814977973568,0.3436123348017621,0.9559471365638766,0.7577092511013216,0.5022026431718062,0.5374449339207048,0.31718061674008813,0.4977973568281938,0.8325991189427313,0.7092511013215859,0.6696035242290749,0.6607929515418502,0.5374449339207048,0.5198237885462555,0.4801762114537445,0.5859030837004405,0.8281938325991189,0.45374449339207046
First Best Player Field Goal Percentage,0.17431192660550476,0.0,0.4403669724770644,0.7477064220183489,0.3807339449541286,0.9770642201834863,0.3853211009174313,0.8899082568807344,0.5504587155963303,0.8256880733944958,0.4082568807339451,0.9724770642201834,0.4403669724770644,0.8807339449541288,0.4403669724770644,0.31651376146788995,0.4587155963302754,0.3899082568807341,0.6422018348623855,0.39449541284403683,0.2385321100917431,0.518348623853211,0.7385321100917434,1.0,0.3256880733944955,0.7660550458715599,0.36238532110091753,0.6009174311926606,0.7339449541284406,0.14678899082568822,0.24311926605504586,0.12385321100917444,0.29816513761467894,0.4495412844036699,0.536697247706422,0.7706422018348627,0.4220183486238534,0.4495412844036699,0.31192660550458723,0.2935779816513762,0.4816513761467892,0.4311926605504589,0.7522935779816516,0.13302752293577996,0.4403669724770644,0.7706422018348627,0.7247706422018351,0.5504587155963303,0.6467889908256882,0.8302752293577985,0.4128440366972479,0.7935779816513765,0.4724770642201837,0.5091743119266056,0.37155963302752304,0.35321100917431203,0.4633027522935782,0.5045871559633027,0.16513761467889926,0.7889908256880737,0.4449541284403672,0.06880733944954136,0.26605504587155965,0.31651376146788995
Second Best Player Field Goal Percentage,0.2753623188405796,0.05072463768115927,0.38768115942028986,0.40217391304347827,0.5434782608695652,0.26449275362318825,0.4239130434782609,0.48188405797101436,0.5652173913043478,0.7282608695652175,0.3514492753623188,0.3550724637681159,0.4057971014492754,0.6123188405797102,0.391304347826087,0.6014492753623188,0.7934782608695654,0.4782608695652173,0.3369565217391304,0.29347826086956513,0.31884057971014484,0.47101449275362306,0.24275362318840585,0.24275362318840585,0.6920289855072465,0.2753623188405796,0.358695652173913,1.0,0.4166666666666667,0.3260869565217391,0.6594202898550725,0.6594202898550725,0.4311594202898551,0.641304347826087,0.3514492753623188,0.4855072463768115,0.6884057971014493,0.391304347826087,0.5688405797101449,0.26811594202898537,0.38405797101449274,0.8840579710144927,0.673913043478261,0.12681159420289848,0.3405797101449275,0.9855072463768115,0.3550724637681159,0.4202898550724638,0.358695652173913,0.20652173913043478,0.7536231884057972,0.26449275362318825,0.4166666666666667,0.8260869565217389,0.6159420289855073,0.5760869565217391,0.23550724637681164,0.5688405797101449,0.3659420289855072,0.33333333333333326,0.536231884057971,0.0,0.23913043478260873,0.2753623188405796
Third Best Player Field Goal Percentage,0.18371607515657626,0.11482254697286011,0.3006263048016702,0.08141962421711907,0.26722338204592905,0.43423799582463485,0.3194154488517746,0.45302713987473897,0.20876826722338213,0.13778705636743216,0.2839248434237996,0.21085594989561596,0.26931106471816285,0.0751565762004176,0.4655532359081419,0.13778705636743216,0.4613778705636743,0.11064718162839247,0.6263048016701462,0.0647181628392485,0.37995824634655545,0.5657620041753654,0.21711899791231742,0.0,0.21085594989561596,0.3883089770354907,0.20041753653444683,0.21294363256784976,0.09812108559498965,0.41962421711899806,0.2150313152400836,0.17536534446764096,0.45093945720250517,0.039665970772442626,0.10647181628392494,0.0563674321503132,0.21085594989561596,0.36116910229645105,0.30897703549060546,0.20250521920668066,0.45720250521920663,0.3945720250521922,0.24217118997912315,0.1022964509394573,0.10438413361169112,0.0647181628392485,0.17536534446764096,0.1315240083507307,0.2839248434237996,0.4029227557411275,0.2233820459290189,0.45302713987473897,0.2651356993736952,1.0,0.29018789144050106,0.48851774530271397,0.4133611691022966,0.3716075156576202,0.2985386221294364,0.17954070981210862,0.3006263048016702,0.29018789144050106,0.44050104384133604,0.39874739039665985
Points Per Game,0.26222222222222225,0.4088888888888888,0.5822222222222224,0.6533333333333333,0.41777777777777786,0.21333333333333326,0.27555555555555544,0.4622222222222223,0.5911111111111115,0.10666666666666663,0.4666666666666665,0.6266666666666669,0.33777777777777795,0.5022222222222226,0.7866666666666667,0.4800000000000003,0.43555555555555586,0.5511111111111112,0.6622222222222224,0.6400000000000001,0.07555555555555539,0.41777777777777786,0.0799999999999999,0.26222222222222225,0.42222222222222205,0.6622222222222224,0.537777777777778,0.27555555555555544,0.41777777777777786,0.49333333333333357,0.3733333333333334,0.6800000000000004,0.40444444444444466,0.6888888888888888,0.3866666666666666,0.0,0.3866666666666666,1.0,0.5866666666666667,0.8844444444444447,0.4488888888888891,0.2977777777777777,0.4888888888888887,0.635555555555556,0.5733333333333335,0.4711111111111113,0.28444444444444444,0.4711111111111113,0.5022222222222226,0.43111111111111106,0.5466666666666671,0.2355555555555555,0.19111111111111104,0.42222222222222205,0.6133333333333337,0.2355555555555555,0.6400000000000001,0.3999999999999998,0.2977777777777777,0.728888888888889,0.5022222222222226,0.5022222222222226,0.6533333333333333,0.6533333333333333
Opponent Field Personal Fouls,0.6793002915451894,0.45481049562682213,0.1661807580174927,0.27405247813411077,0.5685131195335277,0.0,0.3206997084548105,0.2303206997084548,0.239067055393586,0.18658892128279883,0.3177842565597668,0.36443148688046645,0.21574344023323616,0.13994169096209913,0.42565597667638483,0.43731778425655976,0.7113702623906706,0.35276967930029157,0.4839650145772595,0.282798833819242,0.04664723032069971,0.029154518950437316,0.10204081632653061,0.37900874635568516,0.09620991253644315,0.5947521865889213,0.6909620991253644,0.037900874635568516,0.10495626822157435,0.26239067055393583,0.7201166180758017,0.6005830903790087,0.4897959183673469,0.36443148688046645,0.13411078717201166,0.27696793002915454,0.2915451895043732,0.2594752186588921,0.18075801749271136,0.27113702623906705,0.446064139941691,0.19533527696793002,0.22157434402332363,0.5685131195335277,0.19533527696793002,0.3965014577259475,0.3556851311953353,0.14868804664723032,0.22448979591836735,0.6588921282798834,0.5043731778425656,0.1282798833819242,0.6647230320699709,0.20408163265306123,0.4198250728862974,0.3469387755102041,0.5131195335276968,0.1836734693877551,0.32653061224489793,0.4868804664723032,0.34110787172011664,0.09620991253644315,1.0,0.5626822157434402
