Team,virginia,hampton,texas-tech,butler,purdue,arkansas-little-rock,iowa-state,iona,seton-hall,gonzaga,utah,fresno-state,dayton,syracuse,michigan-state,middle-tennessee,north-carolina,florida-gulf-coast,southern-california,providence,indiana,chattanooga,kentucky,stony-brook,notre-dame,michigan,west-virginia,stephen-f-austin,wisconsin,pittsburgh,xavier,weber-state,oregon,holy-cross,saint-josephs,cincinnati,baylor,yale,duke,north-carolina-wilmington,texas,northern-iowa,texas-am,green-bay,oregon-state,virginia-commonwealth,oklahoma,cal-state-bakersfield,kansas,austin-peay,colorado,connecticut,maryland,south-dakota-state,california,hawaii,arizona,wichita-state,miami-fl,buffalo,iowa,temple,villanova,north-carolina-asheville
Third Best Player Field Goal Percentage,0.30546623794212224,0.0,0.3826366559485532,0.3987138263665596,0.37620578778135055,0.6237942122186496,0.4308681672025723,0.41800643086816713,0.5112540192926045,0.42122186495176844,0.572347266881029,0.6816720257234729,0.30546623794212224,0.012861736334405153,0.6977491961414792,0.5209003215434084,0.17363344051446958,0.4147909967845659,0.40836012861736326,0.31832797427652737,0.5434083601286174,0.5916398713826367,0.8263665594855304,0.5016077170418006,0.4244372990353697,0.10610932475884252,0.12540192926045024,0.46945337620578775,0.6237942122186496,0.09324758842443737,0.17684887459807086,0.855305466237942,0.3118971061093248,0.2540192926045016,0.32797427652733124,0.5627009646302251,0.5401929260450161,0.7202572347266879,0.24437299035369775,0.31832797427652737,0.2733118971061093,0.4533762057877813,1.0,0.21864951768488744,0.1961414790996786,0.22508038585209,0.1993569131832799,0.4019292604501607,0.2893890675241158,0.2636655948553055,0.18971061093247601,0.1414790996784567,0.6752411575562702,0.2540192926045016,0.2540192926045016,0.12540192926045024,0.392282958199357,0.30225080385852093,0.4019292604501607,0.3633440514469454,0.29260450160771706,0.4147909967845659,0.32475884244372993,0.5209003215434084
Points Per Game,0.05238095238095245,0.7190476190476188,0.5190476190476193,0.5714285714285714,0.29523809523809535,0.08571428571428558,0.7619047619047619,0.7285714285714284,0.4190476190476189,0.314285714285714,0.5,0.5571428571428573,0.32857142857142885,0.2904761904761902,0.24285714285714258,0.4714285714285717,0.5238095238095238,0.5571428571428573,0.7428571428571425,0.5285714285714282,0.5190476190476193,0.40476190476190477,0.43333333333333307,0.24285714285714258,0.5523809523809521,0.40000000000000024,0.3666666666666668,0.20476190476190462,0.22857142857142843,0.3952380952380951,0.5428571428571431,0.38095238095238093,0.4666666666666665,0.5190476190476193,0.5285714285714282,0.20476190476190462,0.5047619047619045,0.22857142857142843,0.6428571428571429,0.6238095238095236,0.4428571428571427,0.23809523809523808,0.35238095238095263,1.0,0.5285714285714282,0.4190476190476189,0.5761904761904759,0.22857142857142843,0.40952380952380923,0.8476190476190475,0.5619047619047618,0.21428571428571427,0.3666666666666668,0.43333333333333307,0.3952380952380951,0.3666666666666668,0.4714285714285717,0.0,0.40000000000000024,0.7761904761904761,0.49047619047619034,0.40952380952380923,0.2190476190476191,0.42857142857142855
Opponent Field Personal Fouls,0.3321917808219178,0.5753424657534246,0.5068493150684932,0.5136986301369864,0.6575342465753424,0.3047945205479452,0.11301369863013698,0.2945205479452055,0.6815068493150684,0.6198630136986302,0.6541095890410958,0.6164383561643836,0.4417808219178082,0.4349315068493151,0.2945205479452055,0.4520547945205479,0.726027397260274,0.4897260273972603,0.4828767123287671,0.613013698630137,0.5068493150684932,0.589041095890411,0.6506849315068494,0.2945205479452055,0.3253424657534247,0.2054794520547945,1.0,0.571917808219178,0.6095890410958904,0.2636986301369863,0.8698630136986302,0.7226027397260274,0.886986301369863,0.4486301369863014,0.636986301369863,0.18835616438356165,0.5,0.4143835616438356,0.8253424657534246,0.4897260273972603,0.5102739726027398,0.5034246575342466,0.6986301369863014,0.9246575342465754,0.2705479452054795,0.4143835616438356,0.5958904109589042,0.4691780821917808,0.886986301369863,0.839041095890411,0.6095890410958904,0.2465753424657534,0.5034246575342466,0.6438356164383562,0.5924657534246576,0.8527397260273972,0.7636986301369864,0.6678082191780822,0.5,0.684931506849315,0.4212328767123288,0.0,0.8116438356164384,0.5102739726027398
Opponent 3 Pt Field Goal Percentage,0.6829268292682925,0.5365853658536589,0.7926829268292681,0.5731707317073175,0.280487804878049,0.26829268292682945,0.5365853658536589,0.8170731707317072,0.31707317073170754,0.08536585365853665,0.975609756097561,0.4878048780487808,0.7073170731707316,0.19512195121951234,0.23170731707317088,0.7073170731707316,0.8658536585365852,0.15853658536585377,0.41463414634146367,0.3902439024390247,0.6341463414634151,0.4878048780487808,0.4268292682926832,0.4390243902439027,0.9512195121951219,0.670731707317073,0.4878048780487808,0.3536585365853661,1.0,0.74390243902439,0.2439024390243904,0.7317073170731706,0.8536585365853657,0.8048780487804876,0.2439024390243904,0.8048780487804876,0.9024390243902438,0.40243902439024415,0.5975609756097565,0.5365853658536589,0.6585365853658535,0.36585365853658564,0.5243902439024394,0.8780487804878048,0.41463414634146367,0.560975609756098,0.560975609756098,0.4390243902439027,0.36585365853658564,0.8414634146341462,0.7926829268292681,0.4268292682926832,0.3536585365853661,0.5121951219512199,0.6829268292682925,0.14634146341463425,0.304878048780488,0.40243902439024415,0.6463414634146339,0.585365853658537,0.26829268292682945,0.25609756097560993,0.585365853658537,0.0
Random 1,0.34424040582152077,0.6156740190923212,0.0,0.8137280370819069,0.7602713377374987,0.4364320361757025,0.7404920500816843,1.0,0.16411461242732356,0.5953317113147311,0.9553439495337865,0.0018972505474660233,0.9463687585959362,0.9873019342833407,0.8753530773592724,0.7862751976298769,0.9961051691857904,0.7579046757759743,0.6240838222336542,0.8345961426207327,0.1864498036363793,0.7819547463883145,0.37795199888931635,0.5475258835877828,0.36302849848496366,0.43563804843950554,0.3468798836193083,0.12137409142643933,0.4836041777793,0.7851675255051529,0.3466453128174755,0.5569275025030911,0.2694550311011912,0.21842162452038608,0.9218193085025983,0.7622806779462787,0.3835818804041067,0.9557509986403105,0.6782790728018824,0.08624826503004522,0.7129583920967165,0.7691678346340752,0.043871147978518606,0.48381456739338285,0.314562810581952,0.34749044579176747,0.4053219515687959,0.4527359398834403,0.36951200973854087,0.9160445576757067,0.6075817913039772,0.7781586647964858,0.16770168724409776,0.5863837100759928,0.43478236749792204,0.9349971553817511,0.23970294994211203,0.9120321265837288,0.8047274491009361,0.054051992891380594,0.7534732249375339,0.3285432379243429,0.17357592800112095,0.6260808287355675
Random 2,0.15456817291718816,0.5430266725143973,0.10806775872144449,0.9103267032972544,0.3136386972797726,0.15676907535757162,0.9045840127229037,0.7273894827981806,0.18528514135756924,0.684532286266815,0.48451157795933736,0.3079515323913081,0.7428174400746311,0.2731894118094166,0.9443676125936685,1.0,0.33555438080223415,0.1273689225567131,0.49993971736561305,0.623141070753924,0.8191018439958965,0.924199373328389,0.725048707195187,0.5532586134070246,0.5358210717623872,0.44163931455661665,0.3518965266809268,0.35644530029619126,0.49036475321696577,0.8078938159779891,0.2580972558737801,0.6992282018107211,0.47228230858763964,0.0,0.18259987076609333,0.7161622918202932,0.12605451818681154,0.2659909680220273,0.16340917736176572,0.9929492346028811,0.7953365928338786,0.17249468496260278,0.8389973987462351,0.00013976135307392035,0.8214250992392219,0.684276325925179,0.43967546567857535,0.16518291480940916,0.0655730322062194,0.36860459734748213,0.8069940186612894,0.4589821365894475,0.2221563928411417,0.5944570914475137,0.7440014819417802,0.4720471775137243,0.3000530705941151,0.39339043306302895,0.4355443462046337,0.758000530152696,0.5762964864384795,0.3155430624998527,0.36888031174774105,0.7733407519128007
Random 3,0.5120314992873443,0.08859823692882186,0.12790686288560374,0.43210730455735036,0.7892673581727824,0.29556300303124505,0.7349098281137189,0.3787174042842686,0.38122949796833255,0.5258070891792301,0.5796477115429326,0.7281217617473997,0.7168648030658306,1.0,0.3587712993308964,0.0,0.944873553649238,0.15619177859676736,0.4314436831952666,0.1592544186823505,0.5255894853852354,0.3147993398302257,0.1043798629827299,0.20565148395138205,0.8588065559705081,0.08270961478705063,0.5433875245562834,0.29460153646446596,0.3501887021738805,0.8385247812068235,0.8741778822514229,0.2522679759820568,0.3812993139582638,0.7689603242127176,0.8221657732204471,0.008413272171092624,0.7611581914991812,0.5056601597478092,0.05498730824542962,0.9875704187550101,0.27423475403632885,0.8165257064254309,0.5580484852083519,0.8270953297978018,0.9237044892797789,0.5512112363896503,0.4126390428288915,0.7302883012144749,0.9388166346877408,0.7999935660942485,0.1465089050548679,0.8526392235798342,0.4830840861267816,0.545692555063729,0.3249177185075553,0.5279193095255375,0.3565440487175378,0.5052222919284634,0.420573841815312,0.45122010431919396,0.10959785146310112,0.21233065005784427,0.6192148095855158,0.5447914616645807
Random 4,0.04567293999502509,0.8345031961569842,0.27323863357833694,0.9923800799144488,0.0,0.6928790085925938,0.3434923310836195,0.10579882861205424,0.03488049565187299,0.6211697064573055,0.8272709849290735,0.2059908714101582,0.8631002222405756,0.3441348211478001,0.16960713535627928,0.4317979254092582,0.7480373881413218,0.23851222577870443,0.10851938924628637,0.4547178428581555,0.3250772034215055,0.5164668542528589,0.9646308530291313,0.5954309112779929,0.9897247167438059,0.11773770551914323,0.05273478378807246,0.6333949029701312,0.8703306486510489,0.1635634264007422,0.3644899775327564,0.6314523414541522,0.8802761587924213,0.3942334943091171,0.37861046395899167,0.5834650268579359,0.8634020905248397,0.7293128983245448,0.8671711728982806,0.3961769756580754,0.7866268904479431,0.15866777985013858,0.5338770778607183,0.47869250686935255,0.12090031368624997,0.5676768637284731,0.1657017048067934,0.11054463904638873,0.7575696866193544,0.40961720227963777,0.9934696463308355,0.8061819919600304,0.4857862356639731,0.5574389209053077,0.6398350835546188,0.7141634888671048,1.0,0.49332250553302853,0.5871977489386471,0.5340681652537673,0.6988083688220115,0.8298685758126332,0.4722955047517833,0.15111413545718272
Random 5,0.42603102418160865,0.08333805619082783,0.05393221258552278,0.49092915526676334,0.29873505832135155,0.6364707318354015,0.3356787932305094,0.3031793855082568,0.9173278284328544,0.2046671379319752,0.44085452147429816,0.5701567780074009,0.39811583640397935,0.2637271253227078,0.48289593071983095,0.7926699528621458,0.92751344740932,0.4017511459725696,0.3528111895124227,0.16161420797834034,0.013771733966725864,0.11507434327857193,0.029561389689955715,0.34173343149980884,0.7348042524388755,0.7164141515668562,0.7722783391346703,0.8599478949046024,0.8098021109877755,0.7006283013845664,0.37042783153782155,0.8445000307553095,0.9499427684246743,0.1316048032263241,0.8630032491392908,0.6693216915849511,0.3005996713618041,0.16770289185759352,0.872569694476548,0.0,0.4722535740362854,0.027245916703841733,0.4350822417312089,0.2573219925208006,0.807380088906659,0.008290603842403026,0.7651799232793306,0.9371973284896357,0.7179976700495507,0.34479329135260567,0.011210662226995564,0.4731129947493287,0.5730996187918487,0.15157592904362246,0.004702636453121068,0.7289721072410796,0.16968608328384588,0.1757698928723276,0.058824099095607665,0.8297327285621593,1.0,0.7578878887665064,0.454582690243772,0.7985355381251289
