Team,indiana,james-madison,north-carolina-state,temple,nevada-las-vegas,california,syracuse,montana,butler,bucknell,marquette,davidson,illinois,colorado,miami-fl,pacific,louisville,north-carolina-at,colorado-state,missouri,oklahoma-state,oregon,saint-louis,new-mexico-state,memphis,saint-marys-ca,michigan-state,valparaiso,creighton,cincinnati,duke,albany-ny,kansas,western-kentucky,north-carolina,villanova,virginia-commonwealth,akron,michigan,south-dakota-state,ucla,minnesota,florida,northwestern-state,san-diego-state,oklahoma,georgetown,florida-gulf-coast,gonzaga,southern,pittsburgh,wichita-state,wisconsin,mississippi,kansas-state,la-salle,arizona,belmont,new-mexico,harvard,notre-dame,iowa-state,ohio-state,iona
Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
2 Pt Field Goal Percent,0.6074766355140185,0.06542056074766359,0.6822429906542055,0.3084112149532707,0.33644859813084077,0.3084112149532707,0.2803738317757006,0.5794392523364483,0.4859813084112147,0.26168224299065385,0.570093457943925,0.5981308411214952,0.2056074766355136,0.14018691588785,0.4766355140186913,0.23364485981308372,0.49532710280373804,0.04672897196261685,0.33644859813084077,0.5514018691588782,0.37383177570093423,0.33644859813084077,0.4205607476635511,0.4205607476635511,0.5233644859813081,0.6635514018691587,0.4579439252336446,0.9719626168224299,0.9532710280373832,0.0,0.49532710280373804,0.11214953271028043,0.6915887850467288,0.31775700934579404,0.14018691588785,0.06542056074766359,0.46728971962616794,0.6635514018691587,0.747663551401869,0.5514018691588782,0.31775700934579404,0.3084112149532707,0.8224299065420559,0.6074766355140185,0.33644859813084077,0.19626168224299023,0.43925233644859785,0.644859813084112,0.9345794392523364,0.14018691588785,0.5607476635514016,0.3831775700934576,0.23364485981308372,0.36448598130841087,0.15887850467289677,0.3551401869158875,0.4766355140186913,1.0,0.056074766355140214,0.5514018691588782,0.4766355140186913,0.5981308411214952,0.36448598130841087,0.4579439252336446
3 Pt Field Goal Percent,0.9067796610169495,0.33898305084745795,0.8050847457627122,0.2711864406779664,0.2796610169491528,0.05084745762711869,0.33050847457627147,0.6440677966101697,0.43220338983050843,0.5254237288135594,0.0,0.6186440677966103,0.21186440677966123,0.40677966101694907,0.5593220338983051,0.7203389830508476,0.3135593220338986,0.0677966101694916,0.35593220338983084,0.3644067796610173,0.16949152542372897,0.3135593220338986,0.37288135593220373,0.14406779661016964,0.6440677966101697,0.669491525423729,0.35593220338983084,0.6440677966101697,1.0,0.16949152542372897,0.8728813559322037,0.6271186440677967,0.576271186440678,0.1949152542372883,0.6779661016949154,0.2966101694915257,0.4661016949152542,0.30508474576271216,0.7542372881355934,0.7881355932203392,0.3135593220338986,0.3474576271186444,0.6949152542372883,0.14406779661016964,0.2627118644067799,0.22881355932203412,0.4830508474576271,0.3898305084745766,0.6355932203389831,0.5847457627118645,0.4491525423728813,0.3644067796610173,0.28813559322033927,0.23728813559322057,0.5593220338983051,0.6864406779661019,0.6355932203389831,0.7372881355932206,0.4661016949152542,0.8644067796610173,0.6271186440677967,0.6610169491525425,0.5084745762711864,0.6016949152542374
Total Field Goal Percent,0.8061224489795916,0.18367346938775475,0.9489795918367346,0.25510204081632626,0.33673469387755084,0.4183673469387754,0.36734693877551006,0.6326530612244899,0.47959183673469385,0.5102040816326531,0.5510204081632654,0.6020408163265307,0.09183673469387708,0.3061224489795916,0.5306122448979592,0.4591836734693877,0.5408163265306123,0.0,0.4693877551020408,0.5714285714285715,0.36734693877551006,0.44897959183673464,0.43877551020408156,0.5306122448979592,0.6938775510204078,0.6734693877551017,0.5714285714285715,0.8265306122448978,1.0,0.0,0.7040816326530609,0.32653061224489777,0.7959183673469385,0.2448979591836732,0.3877551020408162,0.1326530612244894,0.47959183673469385,0.5306122448979592,0.8265306122448978,0.6836734693877548,0.4897959183673469,0.40816326530612235,0.7653061224489793,0.5612244897959184,0.357142857142857,0.32653061224489777,0.5102040816326531,0.6020408163265307,0.9591836734693877,0.3061224489795916,0.7040816326530609,0.37755102040816313,0.17346938775510168,0.357142857142857,0.33673469387755084,0.4897959183673469,0.5306122448979592,0.8979591836734693,0.2040816326530609,0.7346938775510201,0.6020408163265307,0.5408163265306123,0.4897959183673469,0.5204081632653061
Offensive Rebounds Percent,0.6441176470588236,0.4294117647058823,0.5205882352941177,0.4764705882352941,0.5852941176470589,0.4176470588235294,1.0,0.08529411764705883,0.5882352941176471,0.26176470588235295,0.5823529411764706,0.25588235294117645,0.611764705882353,0.47058823529411764,0.4411764705882353,0.3352941176470588,0.9176470588235294,0.49411764705882355,0.8058823529411765,0.6911764705882353,0.39705882352941174,0.6823529411764706,0.27941176470588236,0.6176470588235294,0.6470588235294118,0.5970588235294118,0.5941176470588235,0.24705882352941178,0.23823529411764705,0.7911764705882353,0.34705882352941175,0.37058823529411766,0.5294117647058824,0.6529411764705882,0.7911764705882353,0.4823529411764706,0.8029411764705883,0.6058823529411764,0.5794117647058824,0.32941176470588235,0.49411764705882355,0.8294117647058824,0.5147058823529411,0.6323529411764706,0.46176470588235297,0.4647058823529412,0.22941176470588234,0.5676470588235294,0.5588235294117647,0.18823529411764706,0.6058823529411764,0.861764705882353,0.55,0.7529411764705882,0.7382352941176471,0.3323529411764706,0.5117647058823529,0.25588235294117645,0.3411764705882353,0.0,0.49411764705882355,0.5970588235294118,0.5029411764705882,0.5176470588235295
Steal Percent,0.4423076923076923,0.4935897435897436,0.34935897435897434,0.4775641025641026,0.4326923076923077,0.23717948717948717,0.7756410256410257,0.22115384615384615,0.28205128205128205,0.0,0.36217948717948717,0.22756410256410256,0.40705128205128205,0.358974358974359,0.33653846153846156,0.24358974358974358,1.0,0.4583333333333333,0.14102564102564102,0.3557692307692308,0.4166666666666667,0.6282051282051282,0.4775641025641026,0.2564102564102564,0.6506410256410257,0.3076923076923077,0.5480769230769231,0.36538461538461536,0.1794871794871795,0.391025641025641,0.36538461538461536,0.23717948717948717,0.4551282051282051,0.33653846153846156,0.592948717948718,0.46474358974358976,0.9743589743589743,0.36217948717948717,0.38782051282051283,0.18269230769230768,0.5288461538461539,0.4326923076923077,0.47115384615384615,0.6057692307692307,0.375,0.28205128205128205,0.391025641025641,0.6826923076923077,0.5096153846153846,0.40384615384615385,0.32051282051282054,0.5480769230769231,0.26282051282051283,0.5737179487179487,0.41346153846153844,0.46474358974358976,0.3717948717948718,0.6538461538461539,0.3269230769230769,0.32051282051282054,0.18269230769230768,0.33653846153846156,0.4166666666666667,0.3333333333333333
Block Percent,0.4158415841584158,0.594059405940594,0.5,0.39603960396039606,0.7772277227722773,0.5346534653465347,1.0,0.26732673267326734,0.2376237623762376,0.4603960396039604,0.3811881188118812,0.2722772277227723,0.4752475247524752,0.29207920792079206,0.5594059405940595,0.0,0.6039603960396039,0.5891089108910891,0.13861386138613863,0.3613861386138614,0.5396039603960396,0.49504950495049505,0.3118811881188119,0.7277227722772277,0.9158415841584159,0.25742574257425743,0.46534653465346537,0.33663366336633666,0.22772277227722773,0.801980198019802,0.4405940594059406,0.12376237623762376,0.995049504950495,0.3415841584158416,0.35148514851485146,0.33663366336633666,0.3118811881188119,0.7079207920792079,0.3069306930693069,0.15841584158415842,0.400990099009901,0.698019801980198,0.36633663366336633,0.5198019801980198,0.5396039603960396,0.21287128712871287,0.3811881188118812,0.4603960396039604,0.24752475247524752,0.43564356435643564,0.4207920792079208,0.6287128712871287,0.5297029702970297,0.6881188118811881,0.41089108910891087,0.3613861386138614,0.43564356435643564,0.2079207920792079,0.43564356435643564,0.39603960396039606,0.42574257425742573,0.2524752475247525,0.5742574257425742,0.2722772277227723
3 Pt Field Goal Attempts,0.4094650205761317,0.39094650205761317,0.06790123456790123,0.6213991769547325,0.5164609053497943,0.0102880658436214,0.5308641975308642,0.31069958847736623,0.51440329218107,0.0,0.12139917695473251,0.5267489711934157,0.8950617283950617,0.16255144032921812,0.5411522633744856,0.31275720164609055,0.5205761316872428,0.5534979423868313,0.1934156378600823,0.4053497942386831,0.29218106995884774,0.28600823045267487,0.3683127572016461,0.0,0.3168724279835391,0.5967078189300411,0.1748971193415638,0.49794238683127573,0.6255144032921811,0.5987654320987654,0.4897119341563786,0.28189300411522633,0.32098765432098764,0.5576131687242798,0.5864197530864198,0.3683127572016461,0.7448559670781894,0.5164609053497943,0.6810699588477366,0.5267489711934157,0.15637860082304528,0.2222222222222222,0.7325102880658436,0.3395061728395062,0.37037037037037035,0.11316872427983539,0.20164609053497942,0.5843621399176955,0.35185185185185186,0.3724279835390947,0.059670781893004114,0.6728395061728395,0.7139917695473251,0.6111111111111112,0.45267489711934156,0.5288065843621399,0.5905349794238683,0.5987654320987654,0.39300411522633744,0.08641975308641975,0.3683127572016461,1.0,0.411522633744856,0.6851851851851852
2 Pt Field Goal Attempts,0.5788690476190477,0.5476190476190477,0.8497023809523809,0.4479166666666667,0.5476190476190477,0.7247023809523809,0.9702380952380952,0.15029761904761904,0.44345238095238093,0.6309523809523809,0.5982142857142857,0.25892857142857145,0.3958333333333333,0.4851190476190476,0.4791666666666667,0.4523809523809524,0.9880952380952381,0.40922619047619047,0.7202380952380952,0.6473214285714286,0.4895833333333333,0.875,0.37202380952380953,0.6622023809523809,0.7946428571428571,0.3958333333333333,0.6741071428571429,0.11011904761904762,0.29017857142857145,0.43005952380952384,0.6130952380952381,0.3392857142857143,0.7589285714285714,0.4538690476190476,0.9717261904761905,0.29464285714285715,0.7410714285714286,0.35714285714285715,0.8125,0.44494047619047616,1.0,0.5163690476190477,0.40327380952380953,0.6830357142857143,0.5252976190476191,0.6086309523809523,0.21726190476190477,0.6622023809523809,0.5654761904761905,0.28720238095238093,0.5401785714285714,0.6785714285714286,0.34226190476190477,0.8184523809523809,0.59375,0.4330357142857143,0.3913690476190476,0.25297619047619047,0.3586309523809524,0.0,0.5461309523809523,0.3601190476190476,0.7053571428571429,0.5803571428571429
Total Field Goal Attempts,0.609375,0.5758928571428571,0.6272321428571429,0.6261160714285714,0.6439732142857143,0.5022321428571429,0.96875,0.234375,0.5647321428571429,0.4263392857142857,0.46763392857142855,0.4330357142857143,0.7354910714285714,0.40513392857142855,0.6060267857142857,0.46205357142857145,0.9765625,0.5602678571428571,0.5982142857142857,0.6584821428571429,0.47879464285714285,0.7645089285714286,0.43191964285714285,0.4497767857142857,0.7209821428571429,0.5736607142857143,0.5535714285714286,0.30580357142857145,0.5100446428571429,0.6004464285714286,0.6785714285714286,0.36049107142857145,0.6964285714285714,0.5959821428571429,1.0,0.37388392857142855,0.9129464285714286,0.5011160714285714,0.9319196428571429,0.5725446428571429,0.7879464285714286,0.4609375,0.6529017857142857,0.6495535714285714,0.5479910714285714,0.47098214285714285,0.22544642857142858,0.7667410714285714,0.5680803571428571,0.3705357142857143,0.390625,0.8270089285714286,0.5970982142857143,0.8984375,0.6439732142857143,0.5647321428571429,0.5669642857142857,0.46763392857142855,0.43526785714285715,0.0,0.5625,0.765625,0.7053571428571429,0.7600446428571429
Opponent Points Per Game,0.3515981735159819,0.4657534246575341,0.7214611872146122,0.6164383561643839,0.39269406392694073,0.4520547945205479,0.19634703196347053,0.5068493150684933,0.4337899543378996,0.15525114155251135,0.3744292237442924,0.3515981735159819,0.4748858447488584,0.4200913242009134,0.2831050228310504,0.4337899543378996,0.20091324200913238,0.34246575342465757,0.42465753424657554,0.5616438356164386,0.39269406392694073,0.4200913242009134,0.17351598173516003,0.3515981735159819,0.4794520547945209,0.3881278538812786,0.21461187214611888,0.3607305936073059,0.40182648401826504,0.2100456621004567,0.4977168949771689,0.28767123287671253,0.34246575342465757,0.5159817351598176,0.675799086757991,0.4885844748858446,0.46118721461187223,0.3835616438356164,0.4063926940639269,0.5159817351598176,0.680365296803653,0.35616438356164404,0.0,0.7762557077625575,0.3059360730593609,0.54337899543379,0.09132420091324202,0.5616438356164386,0.25114155251141557,0.13242009132420085,0.07305936073059367,0.31050228310502304,0.06849315068493152,0.5707762557077629,0.27397260273972607,0.5479452054794525,0.4200913242009134,0.46118721461187223,0.2831050228310504,0.44292237442922355,0.41552511415525123,0.7579908675799087,0.22831050228310504,1.0
Defense Rating,0.2864583333333335,0.7083333333333335,0.8125000000000002,0.7291666666666671,0.2447916666666662,0.5208333333333336,0.15625000000000008,0.744791666666667,0.6093749999999998,0.3072916666666664,0.572916666666667,0.4739583333333333,0.6354166666666664,0.4687500000000003,0.4166666666666669,0.7395833333333331,0.03645833333333276,0.2916666666666665,0.6197916666666666,0.5520833333333334,0.2864583333333335,0.22916666666666635,0.15104166666666632,0.427083333333333,0.32812500000000006,0.5625000000000002,0.2604166666666668,0.4687500000000003,0.5625000000000002,0.18229166666666677,0.48437500000000017,0.5156249999999999,0.18229166666666677,0.583333333333333,0.5156249999999999,0.4427083333333336,0.36458333333333354,0.3489583333333329,0.5885416666666669,0.7760416666666666,0.6197916666666666,0.583333333333333,0.0,0.5,0.26562499999999983,0.6302083333333334,0.13541666666666646,0.44791666666666663,0.2760416666666667,0.05729166666666641,0.2708333333333329,0.41145833333333315,0.17708333333333298,0.3906250000000002,0.44791666666666663,0.6614583333333331,0.4427083333333336,0.4166666666666669,0.3489583333333329,0.666666666666667,0.6874999999999998,0.7083333333333335,0.29687499999999956,1.0
