Team,villanova,lafayette,north-carolina-state,louisiana-state,northern-iowa,wyoming,louisville,california-irvine,providence,dayton,oklahoma,albany-ny,michigan-state,georgia,virginia,belmont,kentucky,hampton,cincinnati,purdue,west-virginia,buffalo,maryland,valparaiso,butler,texas,notre-dame,northeastern,wichita-state,indiana,kansas,new-mexico-state,duke,robert-morris,san-diego-state,st-johns-ny,utah,stephen-f-austin,georgetown,eastern-washington,southern-methodist,ucla,iowa-state,alabama-birmingham,iowa,davidson,gonzaga,north-dakota-state,wisconsin,coastal-carolina,oregon,oklahoma-state,arkansas,wofford,north-carolina,harvard,xavier,mississippi,baylor,georgia-state,virginia-commonwealth,ohio-state,arizona,texas-southern
Defense Rating,0.3129496402877694,1.0,0.6043165467625898,0.38129496402877683,0.3381294964028774,0.3669064748201435,0.22661870503597115,0.4460431654676256,0.5251798561151078,0.3597122302158274,0.2877697841726619,0.5071942446043164,0.4964028776978417,0.4532374100719423,0.10071942446043156,0.7230215827338128,0.0,0.4784172661870503,0.2877697841726619,0.4999999999999997,0.4352517985611509,0.5359712230215825,0.464028776978417,0.3021582733812947,0.32733812949640273,0.3705035971223021,0.6151079136690646,0.6151079136690646,0.2733812949640286,0.802158273381295,0.4460431654676256,0.3561151079136688,0.4424460431654676,0.6294964028776979,0.11870503597122294,0.5611510791366905,0.2338129496402878,0.3597122302158274,0.5431654676258991,0.830935251798561,0.3489208633093521,0.5791366906474819,0.5179856115107911,0.5791366906474819,0.41726618705035956,0.6654676258992807,0.3561151079136688,0.5467625899280572,0.46043165467625896,0.4064748201438848,0.658273381294964,0.4352517985611509,0.5359712230215825,0.38848920863309344,0.5215827338129497,0.294964028776978,0.5935251798561152,0.6115107913669066,0.38848920863309344,0.41726618705035956,0.4424460431654676,0.3705035971223021,0.1798561151079137,0.68705035971223
Offense Rating,0.8320000000000004,0.6720000000000005,0.4760000000000002,0.28,0.6320000000000005,0.28,0.33600000000000024,0.3640000000000003,0.37200000000000044,0.36,0.3640000000000003,0.4120000000000005,0.5440000000000004,0.2680000000000001,0.5880000000000001,0.5520000000000005,0.7760000000000002,0.0,0.2680000000000001,0.4120000000000005,0.3520000000000005,0.4960000000000002,0.4,0.5,0.39200000000000046,0.39200000000000046,0.9720000000000004,0.4240000000000003,0.6640000000000004,0.7680000000000001,0.40800000000000014,0.45600000000000024,0.9320000000000005,0.26,0.18400000000000033,0.34,0.6960000000000002,0.7640000000000003,0.48,0.84,0.5080000000000001,0.4,0.6120000000000004,0.21600000000000022,0.45200000000000046,0.84,0.9680000000000001,0.3040000000000003,1.0,0.5560000000000003,0.5280000000000001,0.3,0.54,0.40400000000000036,0.62,0.28400000000000036,0.5480000000000002,0.4720000000000005,0.5240000000000004,0.5480000000000002,0.4160000000000002,0.6840000000000004,0.7440000000000003,0.3
Opponent Assets,0.5863636363636363,0.7181818181818181,0.5681818181818182,0.38636363636363635,0.1409090909090909,0.22272727272727272,0.5590909090909091,0.2863636363636364,0.5,0.5954545454545455,0.41363636363636364,0.35909090909090907,0.4909090909090909,0.21818181818181817,0.031818181818181815,0.6,0.0,0.2909090909090909,0.35,0.36818181818181817,0.4772727272727273,0.41363636363636364,0.38181818181818183,0.39545454545454545,0.33181818181818185,0.24545454545454545,0.7818181818181819,0.6181818181818182,0.05909090909090909,0.5772727272727273,0.4590909090909091,0.31363636363636366,0.6863636363636364,1.0,0.1409090909090909,0.6545454545454545,0.02727272727272727,0.21818181818181817,0.29545454545454547,0.9818181818181818,0.5454545454545454,0.9,0.8227272727272728,0.6272727272727273,0.5,0.4636363636363636,0.30454545454545456,0.32727272727272727,0.2590909090909091,0.37727272727272726,0.5818181818181818,0.2409090909090909,0.6681818181818182,0.07272727272727272,0.75,0.09090909090909091,0.8363636363636363,0.8318181818181818,0.9590909090909091,0.65,0.7545454545454545,0.6954545454545454,0.31363636363636366,0.5454545454545454
Opponent Offensive Rebounds,0.6697674418604651,0.6046511627906976,0.7162790697674418,0.8837209302325582,0.24651162790697675,0.23255813953488372,0.7069767441860465,0.6232558139534884,0.4,0.44651162790697674,0.8558139534883721,0.12093023255813953,0.6046511627906976,0.5116279069767442,0.14883720930232558,0.3813953488372093,1.0,0.6697674418604651,0.6139534883720931,0.5953488372093023,0.29767441860465116,0.5534883720930233,0.7023255813953488,0.3488372093023256,0.15348837209302327,0.5767441860465117,0.8697674418604651,0.2,0.26046511627906976,0.586046511627907,0.8651162790697674,0.4232558139534884,0.8372093023255814,0.9209302325581395,0.4790697674418605,0.9116279069767442,0.4372093023255814,0.31627906976744186,0.48372093023255813,0.5348837209302325,0.5069767441860465,0.5720930232558139,0.6,0.8697674418604651,0.5720930232558139,0.4790697674418605,0.7209302325581395,0.0,0.22790697674418606,0.3209302325581395,0.7906976744186046,0.48372093023255813,0.8604651162790697,0.24186046511627907,0.986046511627907,0.14883720930232558,0.4511627906976744,0.6651162790697674,0.5953488372093023,0.7813953488372093,0.5534883720930233,0.7116279069767442,0.17209302325581396,0.8093023255813954
First Best Player Field Goal Percentage,0.18840579710144922,0.6811594202898548,0.1739130434782608,0.4384057971014492,0.7826086956521737,0.45652173913043476,0.0833333333333332,0.5615942028985508,0.21014492753623185,0.24637681159420288,0.08695652173913031,0.4275362318840579,0.03260869565217394,0.3333333333333332,0.12318840579710134,0.37318840579710133,0.02536231884057973,0.4746376811594203,0.6123188405797102,0.5507246376811594,0.11956521739130424,0.48188405797101447,0.20289855072463764,0.36594202898550715,0.14855072463768107,0.047101449275362355,0.32608695652173897,0.7391304347826085,0.16304347826086948,0.18478260869565213,0.25,0.25,1.0,0.3369565217391303,0.06884057971014478,0.09782608695652162,0.4384057971014492,0.6485507246376809,0.11956521739130424,0.2934782608695651,0.11594202898550714,0.24637681159420288,0.2644927536231884,0.05072463768115946,0.48188405797101447,0.28260869565217395,0.5507246376811594,0.1521739130434782,0.5760869565217392,0.1775362318840579,0.21739130434782605,0.26811594202898553,0.5362318840579711,0.0036231884057971045,0.09057971014492741,0.23550724637681159,0.8152173913043477,0.0,0.3043478260869564,0.02536231884057973,0.14492753623188398,0.22101449275362317,0.21014492753623185,0.14855072463768107
Second Best Player Field Goal Percentage,0.17647058823529416,0.44257703081232497,0.17647058823529416,0.48459383753501406,0.3893557422969187,0.2969187675070028,0.6582633053221288,0.8487394957983194,0.4005602240896358,0.36974789915966394,0.26050420168067223,0.2745098039215686,0.3137254901960785,0.2296918767507002,0.3781512605042018,1.0,0.6582633053221288,0.10924369747899156,0.31652661064425774,0.34733893557422973,0.32212885154061627,0.2296918767507002,0.37254901960784326,0.15686274509803924,0.2521008403361344,0.1624649859943978,0.8067226890756304,0.2969187675070028,0.2773109243697479,0.24929971988795513,0.3081232492997199,0.6750700280112044,0.3417366946778712,0.44537815126050423,0.23809523809523805,0.2913165266106443,0.319327731092437,0.504201680672269,0.8123249299719889,0.7815126050420169,0.6078431372549021,0.1820728291316527,0.4929971988795519,0.43137254901960786,0.2773109243697479,0.4145658263305322,0.3305322128851541,0.2296918767507002,0.5434173669467789,0.26050420168067223,0.5294117647058825,0.26050420168067223,0.29411764705882354,0.3669467787114847,0.6582633053221288,0.07563025210084026,0.2549019607843137,0.0,0.35854341736694684,0.48459383753501406,0.20168067226890762,0.3781512605042018,0.5126050420168068,0.34733893557422973
Third Best Player Field Goal Percentage,0.5962264150943397,0.5018867924528302,0.309433962264151,0.24528301886792453,0.4867924528301887,0.07547169811320761,0.08301886792452837,0.0,0.24150943396226415,0.7358490566037738,0.6113207547169812,0.2075471698113207,0.6716981132075474,0.16226415094339636,0.8490566037735848,0.30188679245283023,0.4264150943396226,0.3056603773584906,0.09433962264150951,0.5018867924528302,0.011320754716981142,0.418867924528302,0.4264150943396226,0.32830188679245287,0.3358490566037737,0.36981132075471707,0.41132075471698126,0.16603773584905673,0.6264150943396227,0.6905660377358492,0.09433962264150951,0.28301886792452835,0.4867924528301887,0.12452830188679256,0.41132075471698126,0.6301886792452831,0.22264150943396224,0.4716981132075471,0.5094339622641509,0.2150943396226415,0.728301886792453,0.4264150943396226,0.8528301886792452,0.6943396226415096,0.6150943396226416,0.13207547169811332,1.0,0.5849056603773586,0.5283018867924528,0.1358490566037737,0.37358490566037744,0.2679245283018868,0.2528301886792453,0.5320754716981132,0.7735849056603776,0.38113207547169825,0.13962264150943407,0.2150943396226415,0.09056603773584913,0.8981132075471697,0.05283018867924533,0.3849056603773586,0.5471698113207547,0.41509433962264164
Points Per Game,0.419642857142857,0.9598214285714284,0.6383928571428569,0.7232142857142857,0.13839285714285718,0.2187499999999999,0.3705357142857141,0.47321428571428564,0.6249999999999999,0.4151785714285712,0.5,0.4017857142857142,0.5401785714285714,0.5758928571428572,0.0,0.852678571428571,0.12499999999999985,0.7455357142857142,0.19196428571428553,0.5848214285714282,0.683035714285714,0.7499999999999997,0.5312499999999998,0.3526785714285713,0.42410714285714274,0.3928571428571426,0.6383928571428569,0.6071428571428568,0.26339285714285704,0.9017857142857142,0.5937499999999998,0.3705357142857141,0.5669642857142857,0.7589285714285713,0.10714285714285705,0.7321428571428572,0.25,0.5758928571428572,0.6116071428571428,1.0,0.3705357142857141,0.7410714285714282,0.7812499999999998,0.7410714285714282,0.4821428571428569,0.7991071428571429,0.45535714285714285,0.4821428571428569,0.2991071428571429,0.4866071428571427,0.8616071428571425,0.5044642857142855,0.8303571428571423,0.3660714285714286,0.7723214285714283,0.27232142857142855,0.7098214285714286,0.7544642857142858,0.38839285714285715,0.4866071428571427,0.6383928571428569,0.513392857142857,0.3660714285714286,0.7455357142857142
Opponent Field Personal Fouls,0.644,0.024,0.56,0.172,0.42,0.416,0.604,0.108,0.46,0.704,0.336,0.308,0.64,0.564,0.056,0.332,0.948,0.704,0.168,0.576,0.968,0.628,0.66,0.32,0.452,0.36,0.364,0.408,0.388,0.328,0.616,0.444,0.8,0.332,0.244,0.284,0.58,0.76,0.476,0.48,0.404,0.436,0.408,0.476,0.264,0.132,0.82,0.096,0.728,0.392,0.332,0.168,0.62,0.44,0.608,0.0,0.796,0.376,0.288,0.3,0.524,0.328,1.0,0.744
Opponent 3 Pt Field Goal Percentage,0.2905982905982904,0.9401709401709402,0.5042735042735043,0.32478632478632463,0.4273504273504273,0.6581196581196578,0.2735042735042733,0.5811965811965812,0.5299145299145299,0.45299145299145294,0.39316239316239304,0.7777777777777776,0.37606837606837595,0.3504273504273503,0.31623931623931606,0.6239316239316236,0.0,0.5811965811965812,0.4102564102564102,0.6837606837606834,0.8034188034188032,0.5042735042735043,0.4102564102564102,0.5128205128205129,0.3076923076923075,0.6495726495726493,0.4700854700854701,0.6239316239316236,0.6923076923076921,0.4615384615384615,0.37606837606837595,0.29914529914529897,0.3675213675213674,0.5982905982905984,0.2735042735042733,0.5042735042735043,0.37606837606837595,0.5384615384615385,0.7777777777777776,1.0,0.4700854700854701,0.7264957264957262,0.6495726495726493,0.4615384615384615,0.4700854700854701,0.2735042735042733,0.5042735042735043,0.8376068376068374,0.8888888888888887,0.45299145299145294,0.5042735042735043,0.5897435897435899,0.6923076923076921,0.32478632478632463,0.24786324786324762,0.5299145299145299,0.6324786324786321,0.7435897435897434,0.24786324786324762,0.4786324786324786,0.6324786324786321,0.43589743589743585,0.5470085470085471,0.6239316239316236
